studentID,name,gender,dob
1,Werner Hollows,Male,11/9/1997
2,Martica MacRanald,Female,10/18/2000
3,Orlan Epp,Genderqueer,10/24/1991
4,Hamid Atkirk,Male,7/18/1994
5,Shepard Blewitt,Male,3/23/1998
6,Bent Bownd,Male,1/17/1999
7,Alika Healy,Female,8/31/1990
8,Lloyd de Broke,Male,4/14/1991
9,Dotti Penniell,Female,11/11/2001
10,Odelinda Layfield,Female,7/9/1991
11,Ivy Wozencroft,Female,7/6/2001
12,Ryun Ebi,Male,5/24/1990
13,Nessie Meenehan,Female,9/23/2005
14,Traci Sein,Female,6/28/2005
15,Yasmin Caldron,Female,7/28/1996
16,Jedediah Sinnatt,Male,11/10/1992
17,Zane Leving,Male,4/18/1997
18,Corie Huskisson,Female,7/22/1997
19,Cathleen Burgh,Female,2/23/2001
20,Gipsy Cockayne,Female,2/22/2001
21,Gerardo Byham,Male,2/22/1997
22,Rosanna Bawme,Female,6/6/1992
23,Thaddeus Deakin,Male,7/6/1994
24,Nappy Mowbray,Male,11/16/2003
25,Kristos Henden,Male,9/27/1999
26,Joshia Gorden,Male,1/23/1999
27,Harri De Giorgio,Female,1/23/2000
28,Twila Veque,Female,1/31/1991
29,Noak Frankema,Male,8/2/2001
30,Anabel Ghiotto,Female,10/14/1990
31,Lorianna Shepeard,Bigender,8/24/1996
32,Mathian Bellerby,Male,7/23/2002
33,Odella Pluck,Female,3/23/1996
34,Daffi Boutton,Female,3/5/1994
35,Cathy Soots,Female,5/23/1993
36,Dolph McArdell,Male,12/8/2004
37,Dionysus De Meis,Male,7/14/1990
38,Tildy Absalom,Female,3/2/1993
39,Reece Dunklee,Male,1/23/1991
40,Porter Bennington,Male,7/24/1993
41,Daryn Desporte,Female,10/10/2001
42,Hobey Woolaston,Male,12/10/1999
43,Ronny O'Kynsillaghe,Male,10/23/1997
44,Leonardo Hows,Male,12/15/2000
45,Dorri Illyes,Female,7/22/1995
46,Rafaelita Fawckner,Female,11/22/1994
47,Cora Lofthouse,Female,12/17/1997
48,Davidson Elt,Male,7/4/1990
49,Dominik McKee,Male,2/27/2001
50,Tilda MacKellar,Female,12/15/1991
51,Larissa Deans,Female,7/4/1998
52,Cleve Cusack,Male,4/15/1998
53,Frederico Addess,Male,10/8/1993
54,Nevsa Simper,Female,8/12/1995
55,Clerissa Grigolon,Female,4/22/2004
56,Pattin Snodin,Male,1/16/2002
57,Gasper Tolley,Male,10/5/1999
58,Fraze Linneman,Male,5/6/2003
59,Dell Rosendale,Male,6/19/1998
60,Whitney Paybody,Female,9/10/1990
61,Aksel Baile,Male,5/4/1993
62,Shay Bradly,Female,9/8/2003
63,Elroy Piccard,Male,8/2/2001
64,Agosto Deakin,Male,2/1/1995
65,Irvin Kovalski,Male,1/8/1993
66,Yehudi Huortic,Male,12/8/1992
67,Irving Collens,Male,5/20/1991
68,Mala Goede,Female,12/20/1994
69,Alwin Langlais,Male,12/21/1991
70,Celene Lines,Female,7/22/1992
